,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
392,465251.400635,5932111.532532,1668.542358,3
393,465257.005127,5932109.793274,1668.881592,3
394,465373.659668,5932060.892029,1675.947144,3
395,465444.046631,5932032.277832,1680.209961,3
396,465461.471191,5932024.860168,1681.265381,3
397,465560.11499,5931982.943176,1687.734375,3
398,465572.701416,5931978.972534,1697.361938,3
399,465462.900879,5932026.077026,1693.015869,3
400,465446.428955,5932033.139282,1692.337158,3
401,465366.259766,5932065.969788,1689.049561,3
402,465259.580566,5932110.991516,1684.661743,3
403,465250.604492,5932113.800476,1684.302124,3
404,465190.365723,5932132.414124,1680.018921,3
405,465173.722656,5932137.735901,1678.83606,3
406,465096.531738,5932162.4198,1673.349609,3
407,465026.075928,5932178.770264,1668.326538,3
408,464902.512451,5932208.17157,1659.519287,3
409,464820.881348,5932222.769043,1653.688843,3
410,464734.137451,5932234.82016,1647.484619,3
411,464657.521484,5932245.404785,1641.4729,3
412,464557.894043,5932262.920715,1633.727051,3
413,464494.626465,5932274.270264,1632.954834,3
414,464489.334473,5932275.192078,1632.890381,3
415,464488.876709,5932275.275269,1632.953735,3
416,464459.373535,5932280.41629,1632.625977,3
417,464454.010986,5932281.356201,1632.67749,3
418,464391.690186,5932292.280518,1633.275391,3
419,464308.027588,5932309.225128,1634.11499,3
420,464222.856445,5932327.600586,1634.987793,3
421,464185.755859,5932336.862427,1635.388184,3
422,464133.639404,5932349.504669,1630.452881,3
423,464117.850098,5932353.791077,1628.71106,3
424,464108.145508,5932356.449554,1628.001709,3
425,464049.779053,5932372.676727,1627.239624,3
426,463979.418213,5932392.851929,1626.319092,3
427,463871.045654,5932431.353607,1624.879517,3
428,463825.530518,5932449.907166,1624.268066,3
429,463807.580566,5932457.195831,1623.703613,3
430,463733.982666,5932488.986511,1621.39563,3
431,463654.694092,5932529.957031,1618.931519,3
432,463598.969238,5932563.809891,1617.216675,3
433,463532.02002,5932604.481628,1615.156494,3
434,463530.081299,5932605.661537,1615.12085,3
435,463522.212402,5932610.649788,1614.978149,3
436,463456.149658,5932658.452713,1613.848145,3
437,463396.89978,5932701.012878,1612.831055,3
438,463376.686279,5932715.991698,1612.489502,3
439,463357.184082,5932731.59901,1612.172974,3
440,463322.414185,5932759.424568,1611.608887,3
441,463292.734619,5932783.025105,1611.125488,3
442,463242.364746,5932825.246117,1610.330078,3
443,463157.337769,5932893.574509,1608.953735,3
444,463150.678467,5932899.151779,1608.848511,3
445,463147.124878,5932902.105881,1608.792114,3
446,463138.227295,5932909.194992,1608.647339,3
447,463058.977295,5932972.349396,1607.358398,3
448,463003.129761,5933015.438721,1606.43396,3
449,462964.037598,5933044.227661,1605.770996,3
450,462961.807007,5933045.866302,1605.774658,3
451,462865.197998,5933115.271942,1605.925415,3
452,462829.332397,5933139.325104,1605.974243,3
453,462818.944946,5933146.233398,1606.460693,3
454,462741.301392,5933197.790497,1610.09436,3
455,462656.545532,5933249.729797,1613.91748,3
456,462650.456299,5933253.665466,1614.198853,3
457,462628.064636,5933267.478333,1615.211914,3
458,462606.48645,5933281.000549,1616.195068,3
459,462557.579773,5933311.648071,1618.423462,3
460,462542.960205,5933320.275085,1619.071899,3
461,462431.518372,5933389.426453,1624.127197,3
462,462430.349976,5933390.1203,1624.179077,3
463,462429.086609,5933390.876282,1624.235474,3
464,462323.747925,5933460.92981,1629.168701,3
465,462317.202637,5933465.23175,1629.473633,3
466,462251.299805,5933512.850098,1632.685181,3
467,462166.937317,5933578.217651,1636.942017,3
468,462146.899109,5933594.361206,1637.973511,3
469,462138.088501,5933603.12793,1638.482178,3
470,462127.074829,5933613.219299,1639.089233,3
471,462103.204163,5933634.704834,1640.392456,3
472,462093.014771,5933643.852478,1640.890381,3
473,462068.559174,5933665.299744,1640.858521,3
474,462027.582611,5933701.458862,1641.344238,3
475,462025.719116,5933703.422119,1641.380859,3
476,461966.092865,5933764.296875,1642.462524,3
477,461942.171082,5933788.767212,1642.89856,3
478,461941.179504,5933789.713867,1642.913574,3
479,461937.079773,5933794.976929,1643.036865,3
480,461841.558517,5933917.605225,1645.90918,3
481,461817.80574,5933949.449707,1646.684692,3
482,461742.20356,5934075.017456,1650.251953,3
483,461740.711449,5934077.847168,1650.338379,3
484,461678.569698,5934204.959351,1654.355347,3
485,461621.938533,5934326.508301,1658.275146,3
486,461602.725228,5934372.809448,1659.834717,3
487,461567.063065,5934457.510742,1661.869995,3
488,461535.59623,5934532.247314,1663.665894,3
489,461476.758682,5934665.300659,1666.765869,3
490,461434.966431,5934775.233398,1669.562134,3
491,461429.890167,5934788.63916,1669.936768,3
492,461415.508835,5934828.634033,1671.082031,3
493,461374.836777,5934963.676758,1675.233521,3
494,461363.117569,5935006.601318,1676.596802,3
495,461337.407471,5935136.208252,1681.062134,3
496,461325.186523,5935200.404053,1683.29248,3
497,461316.044373,5935287.510986,1686.58728,3
498,461315.432861,5935293.591797,1686.856812,3
499,461310.260956,5935383.370117,1690.955566,3
500,461305.800934,5935424.452393,1692.766602,3
501,461304.359009,5935506.927002,1696.633789,3
502,461306.223907,5935598.86084,1701.05127,3
503,461305.660706,5935615.741699,1701.834595,3
504,461303.521667,5935654.399414,1702.549561,3
505,461306.987274,5935761.873779,1704.686401,3
506,461310.290344,5935845.680176,1706.362305,3
507,461312.184204,5935880.764404,1707.071899,3
508,461316.221069,5935934.570312,1708.178223,3
509,461321.036072,5936024.131836,1709.98938,3
510,461332.829865,5936170.246094,1713.006714,3
511,461335.144989,5936196.910156,1713.741821,3
512,461338.496307,5936232.163818,1714.723511,3
513,461340.255341,5936246.891846,1715.14563,3
514,461350.12735,5936354.298828,1718.125122,3
515,461350.741974,5936361.243164,1718.317017,3
516,461362.694504,5936448.906494,1724.873779,3
517,461363.200912,5936452.748291,1725.160156,3
518,461370.73468,5936510.183105,1729.439331,3
519,461371.012955,5936512.15625,1729.605591,3
520,461383.898773,5936602.237793,1737.199341,3
521,461384.877014,5936608.70874,1737.747192,3
522,461385.91246,5936615.591553,1738.329834,3
523,461398.375275,5936709.286377,1746.184692,3
524,461404.89505,5936758.0354,1750.273071,3
525,461405.510803,5936765.767822,1750.902222,3
526,461405.876953,5936770.368164,1751.276489,3
527,461416.020706,5936873.214355,1759.734741,3
528,461418.559525,5936914.485352,1763.057861,3
529,461422.602509,5936982.528809,1768.530273,3
530,461425.110565,5937015.495117,1771.207031,3
531,461426.802979,5937073.492188,1775.790161,3
532,461426.91748,5937074.8125,1775.968018,3
533,461427.142441,5937077.541504,1776.334961,3
534,461429.498901,5937106.144531,1780.180542,3
535,461428.371552,5937105.262207,1779.044434,3
536,461420.597702,5937099.17627,1771.209473,3
537,461403.858597,5937086.071777,1754.338257,3
538,461402.622528,5937085.104492,1753.092651,3
539,461398.971207,5937081.983887,1749.246094,3
540,461393.5625,5937079.020508,1744.601685,3
541,461366.398468,5937064.432617,1721.463623,3
542,461363.681396,5936954.800781,1717.151001,3
543,461362.047211,5936868.499512,1713.757202,3
544,461357.168213,5936715.9021,1707.751709,3
545,461348.024109,5936609.345459,1703.544556,3
546,461345.688873,5936564.630371,1701.782715,3
547,461338.100647,5936485.290527,1698.648315,3
548,461337.591461,5936480.003174,1698.439453,3
549,461334.194611,5936437.301514,1697.455566,3
550,461328.789032,5936372.915527,1695.966797,3
551,461317.118774,5936259.133301,1691.247192,3
552,461315.021057,5936228.814209,1690.017578,3
553,461312.937805,5936190.606201,1689.048218,3
554,461297.460785,5936007.493896,1684.477661,3
555,461290.015961,5935879.901367,1681.247314,3
556,461289.765167,5935860.118652,1680.734009,3
557,461284.861511,5935748.429199,1677.884277,3
558,461281.738617,5935663.865234,1675.718628,3
559,461283.511322,5935627.549072,1674.745972,3
560,461285.855743,5935569.147949,1672.539551,3
561,461284.960999,5935497.526367,1669.862549,3
562,461286.548065,5935432.337158,1667.407593,3
563,461294.871155,5935358.47168,1664.576172,3
